Country,UrbanPop%,unemploy%,RuralPop%,65above%,Sanitation%,Alcohol%,Obesity,Confirmed%,Death%,Population,yearly_test
Latvia,68.315,8.100000381,31.685,20.68738277,92.42436928,3.0614,25.7,3.749737119,0.069768665,1902000,80140977
Lithuania,68.046,8.489999771,31.954,20.61797994,93.93707198,3.3192,28.4,6.667072298,0.1047602,2794000,172990477
Luxembourg,91.453,6.769999981,8.547,14.39076134,97.59134711,5.1574,24.2,8.150632911,0.09335443,632000,170590500
Madagascar,38.534,2.473999977,61.466,3.100694962,12.31140011,0.289,4.5,0.068849085,0.00101477,27691000,5287567
Malawi,17.427,6.701000214,82.573,2.641543481,26.55426445,0.3588,4.7,0.140486147,0.004375327,19130000,6634172
Malaysia,77.16,4.504000187,22.84,7.183683717,NA,0.2063,15.3,0.728229767,0.002614319,32781000,419206823
Maldives,40.669,6.328000069,59.331,3.593417002,99.15533568,0.3552,7.9,3.078743068,0.009981516,541000,31015081
Malta,94.744,4.260000229,5.256,21.32385747,99.96447143,1.9506,31,3.55862069,0.053448276,522000,48295477
Mauritania,55.327,11.27000046,44.673,3.177868136,49.83422278,0,11.3,0.36111828,0.009139785,4650000,4572467
Mexico,80.731,4.449999809,19.269,7.618103834,92.42406261,1.196,28.4,1.507199199,0.129731126,127792000,360180020
Mongolia,68.657,7.010000229,31.343,4.312309161,67.74079142,1.5398,19.6,0.06019042,5.95E-05,3361000,14939316
Morocco,63.532,11.45400047,36.468,7.606644277,87.25043077,0.0888,25.6,1.321111482,0.023311638,35952000,495681491
Mozambique,37.074,3.809999943,62.926,2.861825471,37.20486798,0.3688,6,0.141538856,0.00144709,31166000,27118341
Myanmar,31.141,1.057999969,68.859,6.236087984,73.63687714,0.1296,5.7,NA,NA,54704000,98978862
Namibia,52.033,21.44599915,47.967,3.585848349,35.25996865,2.4054,15,1.371271153,0.014600551,2541000,17822928
Nepal,20.576,4.723999977,79.424,5.828146995,76.61121355,0.1395,3.8,0.906140819,0.006784238,29996000,197521247
Netherlands,92.236,3.819999933,7.764,20.03482139,97.68577085,2.2164,23.1,5.815291693,0.08283048,17467000,459384263
New Zealand,86.699,4.590000153,13.301,16.36830904,100.0000013,1.6474,32,0.046520954,0.000501303,4987000,166848724
Nigeria,51.958,9.713999748,48.042,2.73806406,42.72256141,1.2178,7.8,0.067547298,0.000798972,206140000,70868525
North Macedonia,58.482,17.20000076,41.518,14.4772854,98.32787804,0.9837,23.9,4.548028846,0.140192308,2080000,41011674
Norway,82.974,4.420000076,17.026,17.5265774,98.05107359,1.7142,25,1.200167069,0.010803787,5387000,248495885
Pakistan,37.165,4.302999973,62.835,4.348649663,68.39731114,0,7.8,0.250961347,0.005416403,220940000,707163849
Panama,68.414,12.85400009,31.586,8.538792477,84.57385023,1.8134,22.5,7.622320803,0.127363997,4283000,106136162
Paraguay,62.183,7.550000191,37.817,6.810983692,92.7207854,1.8252,19,1.896664369,0.038690558,7255000,55256029
Peru,78.297,7.179999828,21.703,8.725263068,78.57670211,1.5529,19.1,3.573741774,0.127751036,32824000,759558024
Philippines,47.408,2.519999981,52.592,5.511648644,82.25604781,1.0845,6,0.488698771,0.010138619,109581000,672139255
Poland,60.043,3.160000086,39.957,18.73945067,100.0000026,2.8507,25.6,4.02817452,0.101631568,38368000,739315217
Portugal,66.31,6.789999962,33.69,22.77226897,99.60414613,3.065,23.2,7.429605071,0.13607021,10255000,609015269
Romania,54.194,5.03000021,45.806,19.23091498,87.06644493,2.1141,24.5,3.863328309,0.097754794,19241000,433160948
Rwanda,17.432,1.485000014,82.568,3.119303582,68.83344246,0.858,4.8,0.12613496,0.001675417,12952000,76845504
Saudi Arabia,84.287,7.449999809,15.713,3.498458991,100,0,35,1.055794641,0.018255758,35041000,1302708093
Senegal,48.122,3.622999907,51.878,3.108147808,56.77646012,0.0766,7.4,0.170144529,0.004031295,16744000,36085664
Serbia,56.446,9.010000229,43.554,19.05850169,97.89866471,2.5678,23.5,5.840908438,0.059105936,6957000,236977166
Slovenia,55.118,4.96999979,44.882,20.73775168,98.09979585,2.2372,22.5,8.235901094,0.171754636,2103000,61647715
South Africa,67.354,29.21999931,32.646,5.509438836,78.47461071,2.2875,27,2.471489904,0.077446837,59628000,794732058
Spain,80.81,15.52999973,19.19,19.9776117,99.90336421,2.4163,27.1,6.176110003,0.128867429,47635000,2223496901
Sri Lanka,18.713,5.877999783,81.287,11.23285868,93.65293491,0.2105,5.4,0.312604276,0.001600036,21937000,87102097
Suriname,66.149,9.777999878,33.851,7.134967066,89.95421143,1.4479,26.5,1.429752066,0.026446281,605000,332930
Sweden,87.977,8.289999962,12.023,20.32880611,99.2862251,2.2981,22.1,5.666975041,0.116748579,10377000,282163919
Switzerland,73.915,4.820000172,26.085,19.09754118,99.89987655,2.3293,21.2,6.160215427,0.111257818,8634000,244812516
Thailand,51.43,1.100000024,48.57,12.95773761,98.71311912,2.1401,10.8,0.035126402,0.000118736,66534000,227058650
Togo,42.8,3.944999933,57.2,2.905024977,18.60319806,0.2882,7.1,0.065660104,0.000954222,8279000,18958138
Trinidad and Tobago,53.214,4.56799984,46.786,11.51463964,93.91521101,0.8874,19.7,0.556026297,0.009861213,1369000,4938480
Turkey,76.105,13.10999966,23.895,8.981065679,99.2249463,0.3107,32.2,3.015137872,0.031867633,83737000,2245837979
Uganda,24.954,2.767999887,75.046,1.985699615,19.78963715,1.7949,4.1,0.087057563,0.000714895,45741000,90540674
Ukraine,69.608,9.131999969,30.392,16.94914332,97.74271759,1.5319,26.1,3.075922734,0.059205802,41778000,413666975
United Arab Emirates,87.048,3.187999964,12.952,1.264407655,99.22957,0,29.9,3.307445285,0.009347515,9778000,2124910132
United Kingdom,83.903,4.472000122,16.097,18.65334671,99.1069609,2.217,29.5,5.868482728,0.167220071,67160000,4500647461
United States,82.664,8.050000191,17.336,16.63092571,99.67961928,2.1373,37.3,8.15992185,0.140103008,329878000,25408750175
Uruguay,95.515,10.35000038,4.485,15.08767233,98.05452933,1.3481,28.9,1.269102237,0.013622203,3531000,52489804
Zambia,44.629,12.84799957,55.371,2.13202219,31.89963255,1.1925,6.5,0.334132942,0.004563751,18384000,42394857
Zimbabwe,32.242,5.350999832,67.758,3.014178098,35.19236284,1.4269,12.3,0.232032564,0.008854202,14863000,22759493
